FOS,Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration
0.537,15,0,30,10,0
0.532,15,0,30,10,1
0.528,15,0,30,10,2
0.525,15,0,30,10,3
0.522,15,0,30,10,4
0.51,15,0,30,10,8
0.501,15,0,30,10,12
0.495,15,0,30,10,16
0.49,15,0,30,10,20
0.486,15,0,30,10,24
0.54,15,0,30,30,0
0.523,15,0,30,30,1
0.504,15,0,30,30,2
0.488,15,0,30,30,3
0.476,15,0,30,30,4
0.445,15,0,30,30,8
0.424,15,0,30,30,12
0.405,15,0,30,30,16
0.387,15,0,30,30,20
0.373,15,0,30,30,24
0.54,15,0,30,60,0
0.498,15,0,30,60,1
0.463,15,0,30,60,2
0.436,15,0,30,60,3
0.416,15,0,30,60,4
0.362,15,0,30,60,8
0.323,15,0,30,60,12
0.293,15,0,30,60,16
0.27,15,0,30,60,20
0.256,15,0,30,60,24
0.88,15,5,30,10,0
0.879,15,5,30,10,1
0.878,15,5,30,10,2
0.877,15,5,30,10,3
0.876,15,5,30,10,4
0.873,15,5,30,10,8
0.87,15,5,30,10,12
0.866,15,5,30,10,16
0.863,15,5,30,10,20
0.86,15,5,30,10,24
0.881,15,5,30,30,0
0.877,15,5,30,30,1
0.874,15,5,30,30,2
0.87,15,5,30,30,3
0.867,15,5,30,30,4
0.853,15,5,30,30,8
0.838,15,5,30,30,12
0.823,15,5,30,30,16
0.811,15,5,30,30,20
0.801,15,5,30,30,24
0.881,15,5,30,60,0
0.873,15,5,30,60,1
0.866,15,5,30,60,2
0.859,15,5,30,60,3
0.85,15,5,30,60,4
0.814,15,5,30,60,8
0.782,15,5,30,60,12
0.758,15,5,30,60,16
0.745,15,5,30,60,20
0.737,15,5,30,60,24
1.161,15,10,30,10,0
1.16,15,10,30,10,1
1.159,15,10,30,10,2
1.158,15,10,30,10,3
1.157,15,10,30,10,4
1.154,15,10,30,10,8
1.15,15,10,30,10,12
1.147,15,10,30,10,16
1.144,15,10,30,10,20
1.141,15,10,30,10,24
1.162,15,10,30,30,0
1.158,15,10,30,30,1
1.155,15,10,30,30,2
1.152,15,10,30,30,3
1.149,15,10,30,30,4
1.136,15,10,30,30,8
1.124,15,10,30,30,12
1.111,15,10,30,30,16
1.098,15,10,30,30,20
1.088,15,10,30,30,24
1.162,15,10,30,60,0
1.155,15,10,30,60,1
1.148,15,10,30,60,2
1.141,15,10,30,60,3
1.135,15,10,30,60,4
1.107,15,10,30,60,8
1.074,15,10,30,60,12
1.051,15,10,30,60,16
1.037,15,10,30,60,20
1.03,15,10,30,60,24
1.424,15,15,30,10,0
1.424,15,15,30,10,1
1.423,15,15,30,10,2
1.422,15,15,30,10,3
1.421,15,15,30,10,4
1.419,15,15,30,10,8
1.415,15,15,30,10,12
1.412,15,15,30,10,16
1.41,15,15,30,10,20
1.407,15,15,30,10,24
1.425,15,15,30,30,0
1.422,15,15,30,30,1
1.42,15,15,30,30,2
1.417,15,15,30,30,3
1.414,15,15,30,30,4
1.403,15,15,30,30,8
1.393,15,15,30,30,12
1.383,15,15,30,30,16
1.371,15,15,30,30,20
1.362,15,15,30,30,24
1.425,15,15,30,60,0
1.419,15,15,30,60,1
1.414,15,15,30,60,2
1.408,15,15,30,60,3
1.402,15,15,30,60,4
1.379,15,15,30,60,8
1.349,15,15,30,60,12
1.328,15,15,30,60,16
1.315,15,15,30,60,20
1.308,15,15,30,60,24
1.684,15,20,30,10,0
1.683,15,20,30,10,1
1.682,15,20,30,10,2
1.682,15,20,30,10,3
1.681,15,20,30,10,4
1.678,15,20,30,10,8
1.675,15,20,30,10,12
1.672,15,20,30,10,16
1.669,15,20,30,10,20
1.667,15,20,30,10,24
1.685,15,20,30,30,0
1.682,15,20,30,30,1
1.679,15,20,30,30,2
1.677,15,20,30,30,3
1.674,15,20,30,30,4
1.663,15,20,30,30,8
1.653,15,20,30,30,12
1.642,15,20,30,30,16
1.63,15,20,30,30,20
1.621,15,20,30,30,24
1.685,15,20,30,60,0
1.679,15,20,30,60,1
1.673,15,20,30,60,2
1.667,15,20,30,60,3
1.662,15,20,30,60,4
1.639,15,20,30,60,8
1.609,15,20,30,60,12
1.587,15,20,30,60,16
1.575,15,20,30,60,20
1.568,15,20,30,60,24
0.728,20,0,30,10,0
0.722,20,0,30,10,1
0.716,20,0,30,10,2
0.712,20,0,30,10,3
0.708,20,0,30,10,4
0.69,20,0,30,10,8
0.678,20,0,30,10,12
0.67,20,0,30,10,16
0.664,20,0,30,10,20
0.658,20,0,30,10,24
0.732,20,0,30,30,0
0.71,20,0,30,30,1
0.683,20,0,30,30,2
0.661,20,0,30,30,3
0.645,20,0,30,30,4
0.603,20,0,30,30,8
0.575,20,0,30,30,12
0.549,20,0,30,30,16
0.525,20,0,30,30,20
0.505,20,0,30,30,24
0.732,20,0,30,60,0
0.674,20,0,30,60,1
0.627,20,0,30,60,2
0.591,20,0,30,60,3
0.564,20,0,30,60,4
0.491,20,0,30,60,8
0.438,20,0,30,60,12
0.397,20,0,30,60,16
0.373,20,0,30,60,20
0.347,20,0,30,60,24
1.087,20,5,30,10,0
1.084,20,5,30,10,1
1.083,20,5,30,10,2
1.081,20,5,30,10,3
1.08,20,5,30,10,4
1.074,20,5,30,10,8
1.068,20,5,30,10,12
1.062,20,5,30,10,16
1.056,20,5,30,10,20
1.052,20,5,30,10,24
1.088,20,5,30,30,0
1.081,20,5,30,30,1
1.076,20,5,30,30,2
1.07,20,5,30,30,3
1.065,20,5,30,30,4
1.042,20,5,30,30,8
1.021,20,5,30,30,12
1.001,20,5,30,30,16
0.985,20,5,30,30,20
0.971,20,5,30,30,24
1.088,20,5,30,60,0
1.075,20,5,30,60,1
1.063,20,5,30,60,2
1.051,20,5,30,60,3
1.038,20,5,30,60,4
0.989,20,5,30,60,8
0.946,20,5,30,60,12
0.915,20,5,30,60,16
0.896,20,5,30,60,20
0.887,20,5,30,60,24
1.376,20,10,30,10,0
1.375,20,10,30,10,1
1.373,20,10,30,10,2
1.372,20,10,30,10,3
1.371,20,10,30,10,4
1.367,20,10,30,10,8
1.362,20,10,30,10,12
1.357,20,10,30,10,16
1.354,20,10,30,10,20
